epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.9416,1.32722,2.86067,1.23875,0.4287,0.26111,0.20596,0.13227,1.20353,1.83039,1.12335,0.00997988,0.00332663,0.00997988,0.00332663,0.00997988,0.00332663,0.00997988,0.00332663
2,141.05,1.29037,2.09163,1.21795,0.44524,0.25488,0.20205,0.12205,1.3209,1.82974,1.2059,0.0197821,0.00659403,0.0197821,0.00659403,0.0197821,0.00659403,0.0197821,0.00659403
3,194.148,1.37969,2.10644,1.26897,0.49266,0.23669,0.18279,0.10657,1.42428,2.04311,1.26024,0.0293863,0.00979543,0.0293863,0.00979543,0.0293863,0.00979543,0.0293863,0.00979543
4,247.871,1.42704,2.09425,1.30552,0.50224,0.24865,0.19642,0.1152,1.41289,1.8661,1.26055,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,301.771,1.39156,1.98683,1.28142,0.58008,0.25591,0.21847,0.13273,1.32225,1.73977,1.20772,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,358.176,1.34776,1.8826,1.26306,0.57816,0.26555,0.23108,0.14252,1.31731,1.66246,1.19871,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,436.367,1.31748,1.81917,1.23871,0.65491,0.25438,0.24185,0.15048,1.28266,1.64075,1.16661,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,529.42,1.29242,1.76624,1.22598,0.48644,0.2853,0.24293,0.15371,1.24378,1.64231,1.17227,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,629.853,1.26736,1.72213,1.21473,0.64557,0.28884,0.26389,0.16957,1.22307,1.57503,1.13849,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,738.722,1.25027,1.69001,1.20155,0.54328,0.28447,0.27105,0.17564,1.20619,1.5608,1.14178,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,840.522,1.22826,1.65852,1.19061,0.5745,0.29345,0.26619,0.17324,1.1674,1.56594,1.11317,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,946.684,1.21535,1.63609,1.18488,0.51853,0.3002,0.2803,0.18617,1.14779,1.48439,1.10786,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1009.56,1.19865,1.61178,1.17368,0.41236,0.31962,0.28209,0.18718,1.13133,1.48955,1.09583,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1088.15,1.19151,1.59886,1.16987,0.4322,0.3517,0.2921,0.19977,1.09508,1.46116,1.08905,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
